post_id,bill_of_sale_available,mortgage_available,repair_available,products_label,price,location,room_count,area,floor_number,total_floors,region,added_time
4786601,True,False,True,Agentlik,117000,Memar Əcəmi m.,2,50.0,5,5,Bakı,2024-12-14 22:24:00
4836501,False,False,False,default,112000,7-ci mikrorayon q.,1,58.0,8,16,Bakı,2024-12-14 23:10:00
4326039,True,True,True,Agentlik,550000,Gənclik m.,4,145.0,8,12,Bakı,2024-12-14 22:24:00
4312922,False,False,True,Agentlik,217500,8 Noyabr m.,2,106.0,3,16,Bakı,2024-12-14 22:23:00
4658935,False,False,False,default,485000,Nəriman Nərimanov m.,4,217.0,7,17,Bakı,2024-12-14 22:23:00
4706976,False,False,True,default,550000,Qara Qarayev m.,4,186.0,17,19,Bakı,2024-12-14 22:21:00
4825899,True,True,True,Agentlik,235000,Qara Qarayev m.,3,102.0,6,16,Bakı,2024-12-14 22:20:00
4836497,True,False,True,default,60000,Qara Qarayev m.,1,20.0,4,5,Bakı,2024-12-14 22:32:00
4758826,True,True,True,default,136000,Həzi Aslanov q.,2,55.0,20,20,Bakı,2024-12-14 22:19:00
4716511,False,False,True,default,360000,28 May m.,3,110.0,4,16,Bakı,2024-12-14 22:19:00
3148782,True,False,False,Agentlik,375000,Nəsimi r.,3,150.0,7,16,Bakı,2024-12-14 22:19:00
4794929,False,False,True,default,63500,Masazır q.,2,50.0,3,6,Bakı,2024-12-14 22:18:00
3995948,True,False,True,Agentlik,270000,8 Noyabr m.,3,112.0,2,7,Bakı,2024-12-14 22:18:00
4599716,True,True,True,default,265000,Nəsimi m.,3,135.0,14,21,Bakı,2024-12-14 22:18:00
4034832,True,False,True,Agentlik,369000,Nərimanov r.,4,180.0,3,17,Bakı,2024-12-14 22:18:00
4819718,False,False,True,default,258000,Xalqlar Dostluğu m.,3,100.0,10,17,Bakı,2024-12-14 22:17:00
4318828,True,False,True,default,101500,Dərnəgül m.,1,35.0,2,5,Bakı,2024-12-14 22:16:00
4833944,True,False,True,Agentlik,450000,Sahil m.,3,100.0,7,8,Bakı,2024-12-14 22:15:00
4836487,True,False,True,default,185000,Nəriman Nərimanov m.,3,68.0,3,5,Bakı,2024-12-14 22:15:00
4627202,False,False,False,Agentlik,504000,Ağ şəhər q.,3,140.0,4,8,Bakı,2024-12-14 22:15:00
4607020,False,False,False,Agentlik,653000,Ağ şəhər q.,4,199.0,3,8,Bakı,2024-12-14 22:14:00
4814159,True,False,True,default,243000,Elmlər Akademiyası m.,2,112.0,6,18,Bakı,2024-12-14 22:14:00
4692445,True,True,True,Agentlik,92000,Xətai r.,2,42.0,1,8,Bakı,2024-12-14 22:14:00
4836491,True,False,True,default,105000,Hövsan q.,3,80.0,7,7,Bakı,2024-12-14 22:13:00
4833965,True,False,True,Agentlik,259000,Sahil m.,3,90.0,2,2,Bakı,2024-12-14 22:10:00
4811656,True,False,True,Agentlik,449900,Sahil m.,3,100.0,5,6,Bakı,2024-12-14 22:26:00
4606999,False,False,True,Agentlik,300000,Qara Qarayev m.,3,120.0,15,17,Bakı,2024-12-14 22:09:00
